,province,red_wine_counts,latitude,longtitude
287,Klein River,2,41.1149051,-97.5980871
288,Ismarikos,2,40.36893,23.047291
289,Danube River Plains,2,46.3108097,18.9257117
290,Murfatlar,2,44.1735518,28.4105479
291,Vin de Pays de Macédoine,2,41.608635,21.745275
292,Northern Cape,2,-29.0466808,21.8568586
293,Danube Hills Valley,2,46.3108097,18.9257117
294,Guerrouane,2,44.805738,-0.647261
295,Recas,2,45.8011607,21.5119138
296,Aigialias Slopes,2,38.220538,22.089166
297,North Island,2,32.6501807,-117.0956644
298,Kentucky,2,37.8393332,-84.2700179
299,Ohiti Valley,2,38.8686397,-84.7821027
300,Lebanon,2,33.854721,35.862285
301,Szekszárd,2,46.3474326,18.7062293
302,Letrinon,2,38.220542,22.089163
303,Attica,2,42.8226861,-78.2703951
304,Groenekloof,2,-33.925237,18.891305
305,Santa Catarina,2,-27.2423392,-50.2188556
306,Croatia,2,45.1,15.2000001
307,Terras do Dão,2,40.392655,-8.150278
308,San Vicente,2,13.6390979,-88.7830612
309,Vânju Mare,2,44.4257053,22.8680481
310,Morocco,1,31.791702,-7.09262
311,Iowa,1,41.8780025,-93.097702
312,Messinia,1,37.1424653,21.9522491
313,Breede River Valley,1,-33.8308,18.936918
314,Ella Valley,1,31.6806252,34.9891247
315,Chalkidiki,1,40.3694997,23.287085
316,Massachusetts,1,42.4072107,-71.3824374
317,Pannon,1,27.9068059,-82.2320043
318,Itata Valley,1,-36.7717771,-72.4311736
319,Cape South Coast,1,33.6894105,-117.8994287
320,Achaia,1,38.1158729,21.9522491
321,Douro Superior,1,41.5012768,-5.5122932
322,Vale Trentino,1,-29.231643,-51.2702634
323,Beira Atlantico,1,40.358431,-8.596545
324,Beni M'Tir,1,36.7418323,8.7357274
325,Ticino,1,46.331734,8.8004529
326,Vino da Tavola della Svizzera Italiana,1,46.17832,8.735492
327,Maipo Valley-Colchagua Valley,1,-33.646304,-70.885954
328,San Clemente,1,33.4273521,-117.6126004
329,Bulgaria,1,42.733883,25.48583
330,Lesbos,1,39.2645095,26.2777073
331,Nahe,1,49.765243,7.4437324
332,Serra do Sudeste,1,-20.1228954,-40.3054099
333,Kutjevo,1,45.4258814,17.88337
334,Martinborough Terrace,1,-41.2246743,175.4922366
335,Nevada,1,38.8026097,-116.419389
336,Curicó and Maipo Valleys,1,-34.9779853,-71.2528803
337,Elazığ,1,38.674816,39.222515
338,Central Otago-Marlborough,1,-44.9566315,169.3988451
339,Arcadia,1,34.1397292,-118.0353449
340,Cyprus,1,35.126413,33.429859
341,Dolenjska,1,45.7558584,15.0592333
342,Istria,1,45.2745018,13.8901858
