,variety
Chardonnay,13775
Pinot Noir,13625
Cabernet Sauvignon,12671
Red Blend,9377
Sauvignon Blanc,6054
Syrah,5667
Riesling,5212
Merlot,4987
Bordeaux-style Red Blend,4545
Zinfandel,3794
Malbec,3085
Sangiovese,2879
White Blend,2554
Tempranillo,2525
Rosé,2461
Shiraz,1945
Sparkling Blend,1820
Portuguese Red,1812
Nebbiolo,1529
Rhône-style Red Blend,1455
Cabernet Franc,1310
"Corvina, Rondinella, Molinara",1292
Pinot Gris,1275
Pinot Grigio,1270
Viognier,1255
Champagne Blend,1003
Barbera,967
Sangiovese Grosso,938
Petite Sirah,897
Gewürztraminer,891
Grüner Veltliner,842
Port,791
Carmenère,746
Tempranillo Blend,734
Portuguese White,716
Chenin Blanc,639
Grenache,596
Bordeaux-style White Blend,580
Albariño,530
Prosecco,515
Glera,479
Pinot Blanc,413
Rhône-style White Blend,407
Garnacha,397
Moscato,389
Nero d'Avola,375
Torrontés,363
Dolcetto,332
Meritage,317
Verdejo,315
Garganega,307
Cabernet Blend,301
Gamay,299
Montepulciano,272
Aglianico,259
Sauvignon,239
Cabernet Sauvignon-Merlot,233
Primitivo,224
Tinta de Toro,221
Sémillon,214
Zweigelt,200
Petit Verdot,199
Pinotage,195
Blaufränkisch,191
Vermentino,190
Roussanne,182
Mourvèdre,172
Muscat,161
Touriga Nacional,155
Bonarda,152
G-S-M,151
Cabernet Sauvignon-Syrah,151
Monastrell,148
Mencía,146
Friulano,136
Fiano,131
Tannat,128
Marsanne,122
Agiorgitiko,117
Pinot Bianco,115
Pinot Nero,113
Grillo,111
Viura,110
Fumé Blanc,106
Godello,102
Sherry,101
Shiraz-Cabernet Sauvignon,95
Shiraz-Viognier,91
Prugnolo Gentile,90
St. Laurent,89
Greco,86
Tempranillo-Cabernet Sauvignon,85
Cabernet Sauvignon-Shiraz,84
Malbec-Merlot,83
Semillon-Sauvignon Blanc,83
Sagrantino,82
Tinto del Pais,81
Melon,79
Cortese,76
Tinto Fino,75
Carignan,74
Grenache Blanc,73
Negroamaro,72
Merlot-Cabernet Sauvignon,72
Tokaji,72
Falanghina,72
Petite Verdot,71
Nerello Mascalese,71
Chardonnay-Viognier,68
Assyrtico,67
Vernaccia,65
Grenache-Syrah,64
Sauvignon Blanc-Semillon,63
Alvarinho,63
Turbiana,63
Arneis,63
Verdelho,62
Tempranillo-Garnacha,60
Xinomavro,59
Malbec-Cabernet Sauvignon,58
Carignano,58
Cabernet Sauvignon-Carmenère,58
Ribolla Gialla,57
Muscat Canelli,55
Austrian Red Blend,55
Syrah-Cabernet,54
Spätburgunder,54
Cabernet Sauvignon-Malbec,54
Arinto,54
Lambrusco,54
Vidal Blanc,51
Silvaner,51
Alsace white blend,51
Pedro Ximénez,50
Cabernet Merlot,48
Trebbiano,48
Verdicchio,47
Syrah-Grenache,47
Weissburgunder,46
Insolia,45
Moschofilero,44
Malvasia,41
Charbono,40
Cabernet Sauvignon-Cabernet Franc,40
Traminer,39
Alicante Bouschet,39
Petit Manseng,39
Marsanne-Roussanne,37
Castelão,37
Claret,37
Moscatel,37
Austrian white blend,36
Lagrein,36
Cannonau,35
Sylvaner,34
Loureiro,34
Portuguese Sparkling,33
